key,en,es,fr,ja,ka,pt,ru,uk
"Each and every one of these small rooms houses an important figure! Once the patient has grown enough, they'll be moved to their own main room up above!","Each and every one of these small rooms houses an important figure! Once the patient has grown enough, they'll be moved to their own main room up above!","¡Cada una de esas pequeñas habitaciones alberga una importante figura! Una vez que el paciente ha crecido lo suficiente, ¡será reubicado a su propia habitación principal arriba!","Chacune de ces petites pièces héberge une figure importante. Une fois qu'un patient a assez grossi, il est envoyé vers sa propre pièce principale en haut. ",それぞれの部屋に偉人の患者が住んでいる。患者が十分に成長したら、上の階にあるメインルームに移動される！,"თითოეული პატარა ოთახი აბინავებს მნიშვნელოვან ფიგურას! როდესაც პაციენტი საკმარისად გაიზრდება, მას გადავიყვანთ საკუთარ ოთახში ზემოთ!","Cada uma dessas salas abriga uma figura importante! Assim que o paciente crescer o suficiente, eles serão alocados em suas respectivas salas no corredro principal!","Каждый в этих маленьких комнатках – важная личность! Когда пациенты вырастают, их переселяют в основные комнаты сверху!",
"When you sleep inside a school, you learn new things. When I sleep inside a school, I taste new things.","When you sleep inside a school, you learn new things. When I sleep inside a school, I taste new things.","Cuando duermes adentro de una escuela, aprendes cosas nuevas. Cuando yo duermo adentro de una escuela, saboreo cosas nuevas.","Quand tu dors dans une école, tu apprends de nouvelles choses. Quand je dors dans une école, je goûte à de nouvelles choses.",学校の中で寝ると、今まで経験したことがないことを味わうことができる気がする。,"როცა სკოლაში იძინებ, ახალ რაღაცეებს სწავლობ. როცა მე ვიძინებ სკოლაში, ახალ რაღაცეებს ვაგემოვნებ.","Quando você dorme dentro de uma escola, você aprende novas coisas. Quando eu durmo dentro de uma escola, eu saboreio novas coisas.","Когда ты спишь в школе, узнаешь новые вещи. Когда я сплю в школе, я узнаю вкус новых вещей. ",
"Yesterday I ate a rat.
It was real gross!!
Everyone tells me that we used to eat all sorts of stuff, but now it's just rats and old hamburgers.","Yesterday I ate a rat.
It was real gross!!
Everyone tells me that we used to eat all sorts of stuff, but now it's just rats and old hamburgers.","Ayer comí una rata.
¡¡Fue muy asqueroso!!
Todos me dicen que solíamos comer todo tipo de cosas, pero ahora es sólo ratas y hamburguesas viejas.","Hier j'ai mangé un rat. 
C'était trop dégeu !! 
Tout le monde me dit qu'on mangeait plein de choses avant, mais maintenant c'est que des rats et des vieux hamburgers. ","昨日ネズミを食べた。
気持ち悪かったよ！
昔色々なものを食べていたと聞いたけど、今はネズミとハンバーガーばかり・・・。","გუშინ ვირთხა ვჭამე.
ძაან საზიზღარი იყო!!
ყველა მეუბნება რო ადრე ყველანაირ რაღაცეებს ვჭამდით, მარა ეხა მარტო ვირთხებს და ძველ ჰამბურგერებს.","Ontem eu comi um rato. 
Era muito nojento!! 
Todo mundo me diz que comíamos todo tipo de coisa, mas agora é só ratos e hambúrgueres velhos. ","Вчера я съел крысу. Было очень противно!
Мне все говорят, что раньше мы ели разную еду, но сейчас здесь только крысы и старые бургеры. 
",
"[wave][center]Hah! you're funny!
What's your name?","[wave][center]Hah! you're funny!
What's your name?",,,"[wave][center]ははっ！面白いね君！
君の名前は？",,"[wave][center]Hah! você é uma figura!
Qual o seu nome?","[wave][center]Ха, а ты смешной! Как тебя зовут?",
"The Paragon is something that cannot be destroyed with a thought, but can be destroyed with a hammer.","The Paragon is something that cannot be destroyed with a thought, but can be destroyed with a hammer.",,,パラゴンは考えだけでは破壊できるものではない。しかしハンマーがあれば破壊は可能だ。,,"O Paragão é algo que não pode ser destruído com um pensamento, mas pode ser destruído com um martelo.","Парагон нельзя разрушить мыслью, но можно молотком.",
"The Thrait woman eyes you up and down, distrust in her expression.","The Thrait woman eyes you up and down, distrust in her expression.",La Mujer Thrait te mira de arriba a abajo. Hay desconfianza en su mirada.,La Femme Rapiécée te regarde de haut en bas avec une expression méfiante. ,スレイト人女性が疑っているような顔で見てくる。,"ტრაიტ ქალი გათვალიერებს ზემოთ ქვემოთ, უნდობლობა მის გამოხატულებაში.","A mulher Thrait te olha de cima para baixo, desconfiança marcando a expressão dela.",Трейт с недоверием оглядывает тебя сверху донизу.,
[wave]DESCEND,[wave]DESCEND,,,[wave] 降りる,,[wave]DESCENDA,[wave]СПУСТИТЬСЯ,
[wave][center]Now give! it! Back!,[wave][center]Now give! it! Back!,,,[wave][center]さあ、はやく！か！え！せ！,,[wave][center]Agora me! dê! Ele!,"[wave][center]А теперь отдавай, быстро!",
"[center][wave]Come along now.
There is no time to lose.","[center][wave]Come along now.
There is no time to lose.","[center][wave]Vamos.
No hay tiempo que perder.","[center][wave]Venez. 
Nous n'avons pas de temps à perdre. ",[center][wave]早く行こう。あまり時間がない。,"[center][wave]წამოდი ახლა.
არ გვაქვს დასაკარგი დრო.","[center][wave]Venha agora.
Não há tempo a perder.",[center][wave]Пойдёмте. Нельзя терять ни секунды. ,
The nurse touches and feels in a way that tells you she really understands the big picture when it comes to healthcare.,The nurse touches and feels in a way that tells you she really understands the big picture when it comes to healthcare.,La enfermera toca y se siente de una manera que te dice que ella realmente entiende el gran panorama del cuidado a la salud.,Le toucher de l'infirmière te dis qu'elle comprend vraiment ce qui compte par rapport à tout ce qui touche à la santé. ,看護師の触り方で医療についてかなり豊富な経験と知識を積んできたことがわかる。,"ექთანი გეხება ისე, რომ გეუბნება რო მას კარგად ესმის ჯანდაცვის სრული სურათი.",A enfermeira toca e sente numa forma que faz você reparar que ela realmente entende do assunto quando este envolve assistência médica.,"Медсестра на ощупь такая, будто она понимает всю полноту картины о здравоохранении.",
Girl Structure,Girl Structure,Estructura de Chica,Structure de Fille,女子の構成,გოგო სტრუქტურა,Estrutura de Garota,Девичья композиция,
Missing Lines,Missing Lines,,,未記入の文章,,Linhas Ausentes,Потерянные диалоги,
The Thrait woman seems lost in thought.,The Thrait woman seems lost in thought.,La mujer Thrait parece perdida en sus pensamientos.,La Femme Rapiécée semble perdue dans ses pensées. ,スレイト人女性は考え込んでいるようだ。,ტრაიტ ქალი ფიქრში დაკარგული ჩანს.,A mulher Thrait parece estar perdida em pensamento.,Трейт потеряна в мыслях.,
It's moving around in a way that really pisses you off.,It's moving around in a way that really pisses you off.,Se mueve por todos lados de una forma que realmente te jode.,Il gigote d'une manière qui t'énerve beaucoup. ,本当に腹を立たせる動きをしている。,ის ნერვების მომშლელად მოძრაობს.,Ele está se movendo de uma forma que lhe deixa irritada.,Его движения тебя очень раздражают.,
The metallic man looks at you disdainfully.,The metallic man looks at you disdainfully.,El hombre metálico te mira desdeñosamente.,L'homme métallique te regarde avec dédain. ,メタルマンが軽蔑の目で見てきた。,მომეტალებული კაცი გიყურებს ზიზღით.,O homem metálico olha a você com desdenho.,Металлический человек смотрит на тебя с презрением.,
Wirey and full of fuzz of an unknown alloy.,Wirey and full of fuzz of an unknown alloy.,,,謎の合金で出来ているワイヤーがいっぱいだ。,,Cheio de fios e flocos de uma liga desconhecida.,Проволчный и полный пуха из неизвестного сплава.,
Ground Beef Feeling.,Ground Beef Feeling.,Sensación de Carne Molida.,Sensation de Bœuf Haché.,牛ひき肉みたい。,საქონლის ხორცის გრძნობა.,Sensação de Carne Moída.,Ощущение говяжьего фарша.,
[wave]Pee pee poo poo test,"[wave]Caching Shaders, please wait...",,,[wave]シェイダーを捕まえています。もう少し待ってください。,,"[wave]Compilando Shaders, por favor aguarde...","[wave]Кэширование Шейдеров, пожалуйста подождите...",
"Ah, hello, dear.
It's a tough job we've got. Ever seen a rusty shovel? How about a rotten metal boat? That's our duty!
We birth the rust that eats away at every bit of metal on the planet. It's an important position!","Ah, hello, dear.
It's a tough job we've got. Ever seen a rusty shovel? How about a rotten metal boat? That's our duty!
We birth the rust that eats away at every bit of metal on the planet. It's an important position!",,,"あらこんにちは。
これは大変な仕事なんだよ？錆びたシャベルを見たことあるか？
使えなくなった金属の船は？それが私たちの仕事なんだ！
世界中の金属を食す錆びを作ってるんだ！大事な仕事なんだぞ！",,"Ah, olá, meu doce.
Nós temos um trabalho complicado. Já viu uma pá enferrujada? Ou que tal um barco de metal apodrecendo? 
Esse é o nosso dever!
Nós parimos a ferrugem que a ferrugem que corrói cada mínimo pedacinho de metal no planeta.
É um cargo importante!","Привет, дорогуша.
Наша работа очень важна. Когда-нибудь видела ржавую лопату? Гнилую лодку? Это наши обязанности!
Мы порождаем ржавчину, разъедающую каждый кусочек металла на планете. У нас очень серьёзная должность!",
"[wave]Gameplay Tip:
Some creatures do not like light.","[wave]Gameplay Tip:
Some creatures do not like light.","[wave]Consejo de Juego:
A algunas criaturas no les gusta la luz.","[wave]Conseil pour le Jeu :
Certaines créatures n'aiment pas la lumière.","[wave]ゲームヒント：
光を嫌う生き物もいる。","[wave]თამაშის მინიშნება:
ზოგ არსებას სინათლე არ მოწონს.","[wave]Dica de Jogabilidade: 
Algumas criaturas não gostam da luz.","[wave]Игровая подсказка:
Некоторые существа не любят свет.
",
Vision,Vision,,,ビジョン,,Visão,Видение,
[wave][center]You finally understand Concepts,[wave][center]You finally understand Concepts,,,[wave][center]やっとコンセプトを理解できるようになった,,[wave][center]Você finalmente entende Conceitos,[wave][center]Теперь Ты Понимаешь Концепты,
"What does a hard structure eat?
Earth is created of buildings that we make.","What does a hard structure eat?
Earth is created of buildings that we make.",,,硬い建造物ってどうやって栄養を補給するんだろ。地球は私たちが作ったビルでできている。,,"O que uma estrutura rígida come?
A Terra é feita de construções que erguemos.","Что едят строения?
Земля создана из зданий, которые мы делаем.",
"[wave]Gameplay Tip:
Make sure to use items sparingly. They're rare!","[wave]Gameplay Tip:
Make sure to use items sparingly. They're rare!","[wave]Consejo de Juego:
Asegúrate de usar los objetos con moderación. ¡Son raros!","[wave]Conseil pour le Jeu :  
Fait attention à utiliser les objets avec modération. Ils sont rares !  ","[wave]ゲームヒント：
アイテムは貴重だから使う時は慎重に。","[wave]თამაშის მინიშნება:
ნივთები დაზოგვით გამოიყენე. იშვიათია!","[wave]Dica de Jogabilidade:
Lembre-se de usar itens com moderação. Eles são raros!","[wave]Игровая подсказка:
Используйте предметы с умом. Они редкие!
",
[center][wave]and they put your brain into phones,[center][wave]and they put your brain into phones,[center][wave]y pusieron tu cerebro en teléfonos,[center][wave]Ils ont mis ton cerveaux dans des télephones,[center][wave]脳みそをスマホに入れた,[center][wave]და ჩადეს შენი ტვინი ტელეფონებში,[center][wave]e colocaram seu cérebro nos celulares nossos,[center][wave]Мозг твой вживили в тысячу схем,
"[wave][center]Forbidden Location:
Library","[wave][center]Forbidden Location:
Library","[wave][center]Ubicación Prohibida:
Biblioteca","[wave][center]Site Interdit :
Bibliothèque","[wave][center]禁断の場所：
図書館","[wave][center]აკრძალული ადგილი:
ბიბლიოთეკა","[wave][center]Local Proibido: 
Biblioteca",[wave][center]Запретная Локация: Библиотека,
Rust and sweat and metal shavings.,Rust and sweat and metal shavings.,,,錆びと汗と金属の欠片。,,Ferrugem e suor e cavacos de metal.,"Ржавчина, пот, и стружка металла.",
Thrait Elder,Thrait Elder,,,スレイト老人,,Thrait Anciã,Трейт-Старейшина,
You,You,,,君,,Você,Ты,
"The nurse looks at you through an eyeless void.
You feel a plump kind of love coming from her.
","The nurse looks at you through an eyeless void.
You feel a plump kind of love coming from her.
","La enfermera te observa a través de una mirada vacía.
Sientes mucho amor emergiendo de ella.","L'infirmière te regarde à travers un vide dénué d'yeux. 
Tu sens qu'elle émet une sorte d'amour maternel. ","看護師が空っぽな瞳で見つめている。
彼女から大きな愛のようなものを感じる。","ექთანი გიყურებს უთვალო სიცარიელიდან.
შენ მისგან სქელ სიყვარულს გრძნობ.","A enfermeira olha pra você através do seu vazio absento de olhares.
Você sente um amor bem farto vindo dela.","Медсестра смотрит на тебя сквозь безглазую пустоту. 
Ты ощущаешь исходящее от неё пухлое чувство любви. 
",
[center][wave]they told me about diseases,[center][wave]they told me about diseases,[center][wave]ellos me hablaron sobre enfermedades,[center][wave]Ils m'ont parlés des maladies ,[center][wave]生き物の病気について教えられて,[center][wave]მათ მითხრეს დაავადებებზე,[center][wave]me mostraram doenças e os seus traços,[center][wave]Сказали всё про все недуги,
A container full of valuable DNA information. Don't Drop it.,A container full of valuable DNA information. Don't Drop it.,,,貴重なDNA情報が入った入れ物。落としてはならないぞ。,,"Um recipiente cheia de valiosos dados de DNA.
Não deixe Cair.",Шприц с ценной ДНК. Не выбрасывай его.,
The Innerman is doing a good job at being a part of the floor.,The Innerman is doing a good job at being a part of the floor.,,,インナーマンは床としてかなりいい仕事をしている。,,O Homeminterno está fazendo um ótimo trabalho sendo parte do chão.,Внутренний Человек отлично справляётся с задачей быть частью пола.,
[wave][center]Third Person Mode Unlocked!,[wave][center]Third Person Mode Unlocked!,,,[wave][center]第三者モードがアンロックされました！,,[wave]Modo de Terceira Pessoa destrancado!,[wave][center]Открыт Режим от Третьего Лица!,
"[wave][center]Transient Location:
Thrait Village","[wave][center]Transient Location:
Thrait Village","[wave][center]Ubicación Efímera:
Aldea Thrait","[wave][center]Site Transcendant :
Village des Rapiécés","[wave][center]儚い場所：
スレイト人の村","[wave][center]გარდამავალი ადგილი:
ტრაიტ სოფელი","[wave][center]Local Transiente:
Vilarejo Thrait",[wave][center]Переходная Локация: Деревня Трейтов,
Teeth,Teeth,Dientes,Dent,歯,კბილები,Dentes,Зуб,
[wave]Quit,[wave]Quit,[wave]Salir,[wave]Quitter,[wave]終了,[wave]გამოსვლა,[wave]Sair,[wave]Выйти,
"The nurse feels dry and warm to the touch.
She feels very proud of her special keycard.
","The nurse feels dry and warm to the touch.
She feels very proud of her special keycard.
","La enfermera se siente seca y cálida al tacto.
Ella se siente muy orgullosa de su tarjeta de acceso especial.","L'infirmière est sèche et chaleureuse au toucher. 
Elle a l'air très fière de sa carte magnétique spéciale.","看護師は乾燥しており、触ると温かい。
特別なカードキーに誇りを感じている。","ექთანი ხმელია და თბილი.
ის ამაყობს თავისი განსაკუთრებული გასაღები ბარათით.","A enfermeira sente-se seca e quente ao toque.
Ela se sente muito orgulhosa de seu cartão-chave especial!",Медсестра на ощупь сухая и тёплая. Она очень гордится своей особой ключ-картой. ,
"[center]If you are thinking, stop thinking.","[center]If you are thinking, stop thinking.",,,[center]もし考えがあっても、行動にうつすのは避けてください。,,"[center]Se você estiver pensando, pare de pensar.","[center]Если вы думаете, перестаньте думать.",
"You place your hand on the Queen's forehead.
It feels cold and glassy, like porcelain.","You place your hand on the Queen's forehead.
It feels cold and glassy, like porcelain.","Colocas tu mano en la frente de la Reina.
Se siente fría y pulida, como la porcelana.","Tu places ta main sur le front de la Reine. 
Il est froid et vitreux, comme de la porcelaine. ","手で女王の額を確認した。
磁器の様に冷たくてガラスのようだ。","შენ ხელს დებ დედოფლის შუბლზე.
ფაიფურივით ცივია და შუშისებრი.",Você coloca sua mão na testa da Rainha. Sente-se fria e vítrea como porcelana.,"Ты прикладываешь ладонь к её лбу. Он холодный и стеклянный на ощупь, словно фарфор.",
"Having rust in every vein, every duct?
Let me tell you, it takes some getting used to,
but after a while, you wouldn't have it any other way!","Having rust in every vein, every duct?
Let me tell you, it takes some getting used to,
but after a while, you wouldn't have it any other way!",,,"すべての静脈と管に錆びが入ってることか？
教えよう、あれは慣れが必要なんだ。
でもある程度時間が経つとこれでよかったって思うようになるんだ。",,"Ter ferrugem em todas as veias, todos os dutos?
Vou te dizer, demora para se acostumar com isso, mas depois de um tempo, você não vai conseguir ficar sem!","Ржавчина в каждой жиле, каждом канале? 
К этому нужно привыкнуть, но потом ты не захочешь ничего другого!",
<MISSING KEY Ending3>,Ending3,,,エンディング３,,,,
"There's nothing better in life than having people think you're helping them. Popularity is absolutely key when moving forward. If you play your cards right, anything seems necessary. A massacre, a young girl with a slit throat, the dissolution of a people, a crushed slave revolt.
They'll do it all for you, if you know how.","There's nothing better in life than having people think you're helping them. Popularity is absolutely key when moving forward. If you play your cards right, anything seems necessary. A massacre, a young girl with a slit throat, the dissolution of a people, a crushed slave revolt.
They'll do it all for you, if you know how.","No hay nada más grande en la vida que la gente piense que la estás ayudando. La popularidad es absolutamente clave para seguir adelante. Si juegas bien tus cartas, cualquier cosa parece necesaria. Una masacre, una joven chica con un cuello abierto, la población dividida, una revuelta de esclavos abatida.
Harán todo por ti, si sabes cómo.","Il n'y a rien de mieux dans la vie que de faire croire aux autres que tu les aides. La popularité est primordiale pour faire avancer tes objectifs. Si tu joues bien ton jeu, tout peut sembler nécessaire. Un massacre, une petite fille égorgée, la déportation d'un peuple, une révolte d'esclave matée dans le sang. Ils feront tout pour toi si tu sais comment t'y prendre. ","この人生では人に信用されること以上の喜びはなかなかない。
何かを手に入れたい時は人望は必ず必要になる。
正しく判断し、生きればこの世のものは全て必要なものと感じるようになってくる。虐殺、喉を切られた少女、民族の解体、 潰された奴隷の氾濫。
やり方さえ分かれば、人はなんでもしてくれるだろう。","ცხოვრებაში არაფერი ჯობია იმას, რომ სხვები ფიქრობდნენ რომ ეხმარები. პოპულარობა არის წინსვლის გასაღები. თუ სწორად ითამაშებ შენ ხელს, ყველაფერი აუცილებლად ჩანს. ხოცვა-ჟლეტვა, ყელგამოჭრილი ახალგაზრდა გოგო, დაშლილი ხალხი, მონების ჩახშობილი აჯანყება.
ამ ყველაფერს შენთვის გააკეთებენ, თუ იცი როგორ.","Não há nada melhor na vida do que fazer as pessoas pensarem que você está as ajudando. Popularidade é crucial para seguir em frente. Se você jogar bem suas cartas, qualquer coisa parece necessária. Um massacre, uma jovem com a garganta cortada, a dissolução de um povo, o esmagamento de uma revolta de escravos.
Eles farão de tudo por ti, se você souber como.","В жизни нет ничего лучше, чем заставлять людей думать, что помогаешь им. Популярность - ключ к движению вперёд. Если правильно разыграть карты, то, что тебе нужно, покажется всем необходимостью. Резня, молодая девушка с перерезанным горлом, распад народа, подавленное восстание рабов. Они всё для вас сделают, главное знать как.",
<MISSING KEY Ending4>,Ending4,,,エンディング４,,,,
<MISSING KEY Ending2>,Ending2,,,エンディング２,,,,
"[wave][center]Heh, What is it, some sorta metal stick?","[wave][center]Heh, What is it, some sorta metal stick?",,,[wave][center]へっ、それはなんだ、なんかの金属の棒か？,,"[wave][center]Heh, Mas o que é, algum tipo de varinha de ferro?","[wave][center]Хе, это что за металлическая палочка?",
"The rust feels rough, something that you actually kind of like. You think it might be fun if you could rust away, just like these pipes.","The rust feels rough, something that you actually kind of like. You think it might be fun if you could rust away, just like these pipes.","El óxido se siente áspero, algo que en realidad te agrada. Piensas que sería divertido si pudieras oxidarte, justo como estos caños.","La rouille est dure au toucher, quelque chose que tu apprécies. Tu penses qu'il serait amusant si tu pouvais rouiller jusqu'à la mort, tout comme ces canalisations. ",錆が荒い感触がなんだか好き。パイプと一緒で、錆びてもいいかなぁと思っちゃう。,"ჟანგი უხეშია, რაღაც რაც შენ მოგწონს. ფიქრობ რომ სახალისო იქრება რომ შეგეძლოს დაჟანგვა, ისე როგორც ეს ტრუბები.","A ferrugem é áspera, algo que você meio que gosta. Você pensa que seria divertido se você pudesse apenas enferrujar pra sempre, assim como esses canos.","Ржавчина грубая на ощупь, тебе это даже нравится. Ты думаешь, что было бы забавно проржаветь, как эти трубы.",
"The Bridge was raised, but there's nothing over here. I had hoped there may be food here that I could bring to my village, but I suppose it was just a pipedream...
All that is here is a lousy rusty lever...","The Bridge was raised, but there's nothing over here. I had hoped there may be food here that I could bring to my village, but I suppose it was just a pipedream...
All that is here is a lousy rusty lever...","El Puente ha sido levantado, pero no hay nada aquí arriba. Tuve la esperanza que hubiera comida que pudiera llevar de regreso a mi aldea, pero supongo que era todo un sueño imposible...
Todo lo que hay aquí es una tonta palanca oxidada...","Le Pont a été relevé, mais il n'y a rien ici. J'avais espéré qu'il y aurait de la nourriture que j'aurais pu ramener à mon village, mais je suppose que tout cela était trop beau pour être vrai... 
Tout ce qu'il y a ici c'est un levier rouillé qui grince... ","橋は上がったが、ここには何もない。村に持っていける食料があるかもしれないと期待していたのだが、それは夢物語だったようだ...。
ここにあるのは、錆びたレバーだけだ・・・","ხიდი აწეული იყო, მაგრამ აქ არაფერია. იმედი მქონდა საჭმელი იქნებოდა, რასაც სოფელში წავიღებდი, მაგრამ როგორც ჩანს ეს მხოლოდ დამესიზმრა...
აქ მხოლოდ სულელი ჟანგიანი ბარკეტი არის...","A Ponte foi erguida, mas não há nada aqui. Tinha fé que talvez teria comida aqui que pudesse levar ao meu vilarejo, mas suponho que era apenas uma ilusão minha. Tudo que há aqui é uma estúpida alavanca enferrujada...","Мост выдвинут, но дальше пусто. Я надеялась, что найду там еды и отнесу в деревню. Мечты...
Всё, что тут есть – никчёмный ржавый рычаг...
",
Vibrations inside.,Vibrations inside.,Vibraciones adentro.,Il vibre de l'intérieur. ,中から振動している。,ვიბრაციები შიგნით.,Vibrações por dentro.,Там раздаются вибрации.,
<MISSING KEY Ending5>,Ending5,,,エンディング５,,,,
Slimey and Cold.,Slimey and Cold.,,,ぬるぬるして冷たい。,,Viscoso e frio.,Слизь и Холод.,
<MISSING KEY Ending6>,Ending6,,,エンディング６,,,,
Cold place where they put the loud kids.,Cold place where they put the loud kids.,Lugar frío donde colocan a los niños ruidosos.,L'endroit froid ou ils mettent les enfants trop bruyants.,うるさい子供たちがいる冷たい場所。,"ცივი ადგილი, სადაც უშვებენ ხმაურიან ბავშვებს.",Lugar frio onde eles colocam as crianças barulhentas.,"Холодное место, куда кладут шумных детей.",
[center]Hello! You've reached the Arraroyo Inn.,[center]Hello! You've reached the Arraroyo Inn.,,,[center]こんにちは！ここはアラローヤ宿屋よ。,,[center]Olá! Você esta falando com a Pousada Arraroyo.,[center]Здравствуйте! Вы позвонили в гостиницу «Арраройя».,
